transaction_amount,account_age_days,previous_transactions,failed_transactions,transaction_hour,is_international,device_change,is_fraud
89575,1926,52,5,7,0,1,1
19557,2449,50,1,19,1,1,1
66657,991,52,7,17,0,0,0
77289,1813,3,4,20,1,0,1
79053,858,78,4,0,1,1,1
53095,804,16,1,23,1,0,0
40857,490,66,3,7,1,1,1
9792,1781,73,8,2,1,0,1
45858,1494,46,8,0,1,1,1
72509,1706,55,5,19,0,0,1
71311,2315,22,8,15,1,0,1
65797,54,17,3,8,0,0,0
37165,616,0,0,16,1,0,0
92193,1083,34,1,15,0,0,0
99399,1849,63,0,22,1,1,1
32706,955,57,7,5,1,0,1
11634,2434,94,8,22,0,1,1
94763,1630,58,9,6,1,1,1
40497,650,0,5,23,1,1,1
91487,2348,2,1,15,0,1,1
1116,395,66,5,7,0,1,1
89889,1360,36,8,9,1,1,1
55691,2444,82,2,13,0,1,0
89912,371,28,8,10,0,1,1
23347,858,88,1,1,1,1,1
24400,791,32,4,11,0,1,0
74165,658,99,1,19,1,1,1
82898,1393,60,6,19,0,0,1
9368,384,92,9,12,1,1,1
86907,2110,89,8,14,1,1,1
12285,239,3,6,11,1,1,1
63804,195,13,4,12,0,0,0
86879,2109,90,3,7,1,0,1
39199,1153,32,3,15,0,1,0
8671,2016,21,9,2,1,0,1
38144,156,47,7,12,1,0,1
51314,923,2,9,11,1,1,1
61328,1610,86,9,18,0,1,1
49084,975,84,9,1,1,0,1
40874,1231,22,9,0,1,0,1
2668,2436,67,9,7,0,1,1
62692,1815,20,0,8,1,1,1
67663,838,42,4,7,1,1,1
2795,2008,94,1,20,0,1,0
48290,1364,84,8,16,0,1,1
5358,2388,25,6,8,0,1,1
87638,204,40,9,5,1,0,1
39604,161,98,7,14,0,1,1
33259,392,37,5,22,1,1,1
14086,769,87,8,23,1,0,1
61958,1094,10,5,12,0,1,1
12766,405,28,6,20,0,1,1
38760,608,59,6,21,1,0,1
3661,1615,66,8,11,0,0,0
26954,1541,64,7,12,0,1,1
64605,1838,60,0,6,1,0,0
52351,690,18,3,22,0,1,0
22762,1241,45,6,17,0,1,1
8492,2104,48,7,13,0,0,0
30635,366,21,6,10,1,1,1
78703,1723,77,2,13,0,1,1
52356,455,56,3,16,0,1,0
89235,104,13,6,23,1,1,1
35322,77,43,7,20,1,0,1
77473,230,15,6,1,1,0,1
79675,1938,96,5,18,1,1,1
96454,2379,76,8,15,0,1,1
84751,1206,11,8,21,1,1,1
63435,893,54,6,9,1,1,1
11065,1574,50,7,21,0,1,1
24638,2075,38,5,7,1,0,1
70692,1676,32,0,20,1,0,1
98118,299,32,0,4,0,0,0
8210,957,28,5,6,1,1,1
79409,1115,68,1,12,1,1,1
27366,1475,69,7,15,0,1,1
53092,365,30,0,4,0,0,0
83048,1699,79,1,15,0,1,1
98906,351,30,7,14,0,0,1
7010,2301,88,5,8,0,1,1
91082,1905,45,9,21,0,1,1
306,1012,96,1,22,0,1,0
87154,499,76,1,11,0,1,1
87997,950,51,6,7,0,0,1
23519,1995,9,4,12,0,1,0
50736,2047,87,4,4,0,1,0
50115,508,73,7,13,0,0,0
54368,1328,40,6,15,1,0,1
88039,166,94,8,10,0,0,1
18241,920,76,3,19,0,1,0
80456,114,2,9,11,0,1,1
72010,992,58,3,14,0,1,1
56144,1952,51,1,23,0,1,0
67314,2255,33,2,11,1,0,0
33927,1259,48,0,8,1,0,0
55920,515,27,0,0,1,0,0
62723,1232,82,6,2,1,0,1
81834,709,86,4,11,0,0,0
75550,2186,95,2,19,1,1,1
93526,339,12,6,12,1,1,1
22399,68,96,1,22,0,1,0
43685,1597,97,2,5,1,0,0
64144,1565,96,0,9,1,0,0
42657,383,68,7,9,0,1,1
49180,19,66,1,15,0,1,1
2793,2122,60,6,0,1,1,1
95103,573,59,8,15,0,1,1
95359,1300,70,5,3,1,1,1
69263,2259,23,1,5,0,1,0
26039,1944,62,1,18,1,0,0
49025,651,85,8,1,1,1,1
43041,1646,60,9,17,1,0,1
21934,994,22,7,9,0,1,1
18147,1339,29,8,3,0,0,0
26205,901,59,3,0,1,0,0
75866,1685,17,3,14,0,0,0
15807,1586,95,1,9,0,1,0
22076,1924,55,9,17,1,1,1
44362,1782,52,0,15,0,1,0
23876,1137,6,9,12,0,1,1
30180,2218,96,3,14,1,0,0
66942,1945,68,9,1,1,1,1
61473,1038,91,9,19,0,1,1
6876,1739,71,7,3,0,1,1
92887,288,78,1,0,0,0,0
55116,2237,51,7,6,1,0,1
9574,1591,3,0,22,0,1,0
58153,1746,33,0,10,0,1,0
22059,1099,68,3,9,0,1,0
5630,2325,32,6,0,0,1,1
94956,940,68,8,10,0,0,1
3848,1449,37,4,23,0,1,0
97604,571,97,1,9,1,1,1
98198,1001,25,6,13,1,0,1
13645,1206,0,1,13,1,1,1
66299,918,3,8,6,0,1,1
34866,1875,38,8,22,0,1,1
73630,833,53,2,10,1,0,1
93657,2241,89,7,21,1,0,1
61187,1679,32,3,3,1,1,1
95939,616,32,2,23,1,1,1
68940,406,71,0,1,1,0,0
54484,1750,19,4,6,0,0,0
51105,93,15,3,18,0,0,0
46676,2478,20,0,13,0,1,0
39453,654,44,9,18,0,0,0
62103,434,89,7,6,0,0,0
83311,1136,86,7,11,1,0,1
52833,375,81,7,2,1,1,1
65418,1067,61,2,14,0,0,0
89574,207,30,5,4,1,1,1
23764,780,41,6,7,0,1,1
67272,1320,11,8,13,0,1,1
85716,1142,64,4,3,1,1,1
93364,532,72,8,6,0,0,1
26836,2214,2,5,6,0,1,1
94309,90,89,9,17,0,1,1
954,1118,8,9,13,1,1,1
90184,13,50,9,7,1,0,1
38723,1858,15,3,11,0,0,0
7492,805,87,0,9,0,0,0
55780,945,77,0,13,1,0,0
46817,1858,2,9,8,1,1,1
87192,1611,97,4,5,1,1,1
50959,1960,96,2,4,1,1,1
26409,1053,23,4,0,0,0,0
87555,296,72,4,0,0,0,0
63834,926,12,0,19,0,0,0
70567,640,1,7,16,1,1,1
52762,2388,70,4,10,1,1,1
98606,628,20,4,11,0,1,1
12788,2487,18,8,2,1,0,1
25442,1168,88,7,5,0,0,0
37257,942,46,0,10,1,1,1
67963,830,21,2,12,0,0,0
52183,1771,74,6,10,0,1,1
65833,976,32,0,7,0,1,0
89145,955,31,0,9,0,0,0
34798,1263,63,4,1,1,1,1
80723,952,84,8,23,0,1,1
22771,944,38,5,13,0,1,1
25284,2203,83,9,15,0,1,1
93484,1205,71,1,16,0,1,1
42207,2136,41,8,10,1,0,1
86302,1535,8,5,1,0,1,1
51763,1097,24,4,23,0,0,0
15808,179,88,4,22,1,1,1
92006,2260,96,2,4,0,0,0
49911,1829,1,5,15,0,0,0
2911,1258,18,3,15,0,0,0
56350,465,19,9,1,0,1,1
72182,1775,92,1,15,1,0,1
34854,1231,69,2,4,1,1,1
95842,885,16,8,7,1,1,1
11511,2414,88,8,19,1,0,1
3011,2324,67,5,13,1,0,1
67370,2428,93,9,9,1,1,1
83863,1333,83,9,22,0,1,1
8780,1655,2,8,1,0,1,1
84996,945,86,3,2,0,0,0
83979,925,50,4,17,0,1,1
71395,1939,81,9,20,1,1,1
88714,494,25,5,1,0,1,1
11211,1547,55,8,20,0,1,1
37604,1970,99,4,8,1,1,1
1902,1095,63,7,1,0,1,1
8255,2412,7,0,6,0,1,0
73756,1826,80,4,6,1,1,1
39484,763,94,9,13,0,1,1
47354,2324,36,0,4,0,1,0
22018,50,96,9,7,1,1,1
86081,906,26,5,22,0,1,1
60813,564,44,6,21,0,0,0
30406,783,3,4,17,0,1,0
16746,2041,85,0,5,0,1,0
46943,1832,89,5,13,0,1,1
96701,584,95,9,17,1,1,1
90835,1320,87,4,16,0,1,1
16471,236,98,5,8,0,0,0
77471,2104,36,9,12,0,1,1
2149,1943,95,6,15,1,0,1
31716,360,70,6,20,1,1,1
21032,1931,32,1,9,1,0,0
29955,110,30,2,9,0,0,0
61534,192,54,5,3,0,1,1
72794,904,11,2,11,0,0,0
43116,1117,10,1,7,0,0,0
7500,862,87,3,14,0,1,0
42742,1084,71,4,20,1,0,0
15251,650,31,9,22,0,0,0
51507,39,56,8,18,0,0,0
66790,637,37,2,14,1,1,1
4599,1037,59,2,7,1,1,1
6395,36,85,5,7,1,1,1
59140,2149,97,4,18,1,1,1
12283,1362,18,5,8,1,0,1
29399,1984,83,6,23,0,1,1
12974,166,55,2,16,0,0,0
32811,2431,13,4,7,0,1,0
5639,1880,32,7,11,0,1,1
53451,31,9,3,14,0,0,0
61367,11,79,9,3,1,0,1
48454,2012,63,1,5,0,1,0
2657,2144,63,3,15,0,1,0
38460,2240,61,1,4,1,1,1
82118,486,67,2,22,1,1,1
2300,1290,90,3,12,0,1,0
68597,1448,91,3,14,0,0,0
47075,2286,42,9,16,1,1,1
21457,1944,79,8,21,0,0,0
77605,1964,58,9,19,1,1,1
2969,1852,51,5,21,0,1,1
61235,1470,96,8,4,1,0,1
50208,1367,18,3,18,1,1,1
94279,991,20,8,6,1,0,1
90372,825,21,8,2,0,0,1
38567,1463,8,5,12,1,1,1
23428,2154,8,4,13,1,0,0
91512,2229,72,2,15,0,1,1
86931,2232,26,4,12,0,1,1
4087,226,16,2,1,0,1,0
58971,777,43,4,13,1,1,1
22499,1113,44,4,19,1,1,1
46314,688,7,1,6,1,1,1
99622,530,79,8,4,0,1,1
86516,972,17,6,13,0,0,1
70371,936,32,5,8,1,1,1
44164,1423,0,4,9,0,0,0
70191,2154,75,3,6,0,1,1
40918,1295,5,7,13,1,1,1
45625,1999,40,1,13,1,0,0
19930,1527,54,7,1,0,0,0
17529,679,4,0,16,1,0,0
6993,2441,58,9,19,0,0,0
80009,40,79,0,3,0,1,1
47433,1106,17,2,12,1,1,1
3536,845,48,4,17,1,0,0
74390,1744,81,5,2,0,1,1
76313,2249,64,3,18,0,0,0
5995,447,82,6,4,1,0,1
19838,1235,53,6,0,0,0,0
30846,2492,60,1,8,0,0,0
49477,1351,7,1,23,0,0,0
48504,227,2,1,7,0,1,0
54145,48,24,1,2,0,0,0
97988,1463,68,8,1,1,0,1
39890,1831,54,4,0,0,1,0
5700,187,39,7,11,0,0,0
94760,2393,82,4,21,1,0,1
93279,2272,81,4,12,1,1,1
40864,1933,49,0,9,1,1,1
74643,849,94,5,16,0,1,1
45814,2033,32,3,10,0,1,0
56935,1253,17,2,4,1,1,1
73844,1414,56,5,8,1,0,1
56591,979,15,1,12,1,0,0
18689,1613,79,7,19,1,0,1
43584,1017,37,0,22,1,1,1
83089,2236,40,8,10,0,1,1
36312,1882,6,7,22,1,1,1
43625,270,77,0,3,0,1,0
47302,1631,52,9,20,0,1,1
32735,310,62,8,10,1,1,1
63308,2044,88,1,8,1,0,0
33928,1575,31,2,6,1,1,1
18811,1096,37,1,15,1,0,0
3520,1696,21,7,22,1,0,1
96852,1446,15,1,22,0,0,0
401,2168,51,9,4,1,1,1
45336,220,28,1,5,1,1,1
66335,53,15,0,18,0,1,0
54340,1758,75,6,0,1,1,1
65826,1475,16,1,15,1,1,1
10592,1667,63,9,17,1,0,1
6202,1261,90,4,23,0,0,0
50436,720,88,4,12,1,1,1
85414,406,12,2,0,1,0,1
26741,2470,71,2,9,1,0,0
34684,2295,55,2,6,1,1,1
32845,72,4,5,4,0,0,0
23193,1854,11,3,12,1,0,0
66205,2233,40,2,21,0,1,0
51985,2054,2,1,15,1,0,0
36731,1230,98,2,23,1,1,1
73091,1568,32,3,19,1,1,1
4114,387,85,5,21,0,1,1
11193,1792,49,3,13,1,0,0
18170,699,55,7,10,1,0,1
35877,1201,8,2,18,0,0,0
57058,827,81,2,22,1,1,1
82174,1823,49,2,1,1,0,1
10829,349,28,7,7,1,0,1
99813,1279,38,3,12,1,1,1
45117,308,90,0,6,0,1,0
66420,1151,99,1,11,0,1,0
27851,1961,44,9,7,0,0,0
78169,2335,16,1,15,1,1,1
54848,766,55,2,17,1,0,0
5901,725,97,5,18,1,1,1
19290,1620,45,7,3,1,1,1
49789,383,66,0,11,0,1,0
51093,2436,68,8,15,1,1,1
29692,525,13,0,20,0,0,0
10747,276,66,9,21,1,0,1
8816,337,22,1,16,1,0,0
88991,1974,93,2,3,0,1,1
87645,481,60,6,19,1,0,1
90012,911,22,8,23,0,1,1
70416,1997,26,2,23,0,1,1
2468,1352,53,7,21,1,0,1
77675,2034,9,8,23,0,1,1
6755,1755,88,9,8,0,1,1
70131,109,76,6,4,1,0,1
76529,328,15,3,16,0,0,0
91183,1800,40,3,16,0,1,1
88022,315,97,3,1,1,0,1
55866,1135,54,5,1,0,1,1
13503,781,60,3,20,1,0,0
32197,1521,85,4,22,0,1,0
78757,156,80,8,6,1,1,1
11066,1497,86,6,3,1,1,1
99257,1725,99,7,12,1,0,1
93948,887,48,4,19,1,0,1
53021,722,72,4,10,1,1,1
49826,913,51,6,2,0,0,0
50400,871,1,7,1,1,0,1
22777,13,95,8,15,1,0,1
55709,498,49,1,2,0,1,0
96925,1757,85,2,23,1,0,1
56761,2286,42,1,14,0,0,0
31124,1118,76,9,16,0,0,0
70413,1195,7,6,15,1,1,1
53106,2005,58,1,19,0,1,0
95385,1648,64,1,6,0,1,1
15438,1591,80,1,15,0,0,0
68127,1491,11,3,4,1,1,1
92872,143,3,0,1,0,0,0
80235,1225,76,1,0,1,0,1
19608,565,94,2,21,1,1,1
3151,2432,40,6,12,0,0,0
48847,1716,6,9,15,1,1,1
87242,417,86,0,4,0,0,0
87335,1849,87,5,2,0,0,1
54121,2356,68,2,14,1,0,0
66512,1718,68,2,15,1,0,0
58435,1391,80,3,10,1,0,0
56279,1068,29,3,18,0,1,0
32193,1867,72,6,17,0,1,1
69778,1122,5,2,20,0,1,0
80838,1289,88,7,8,1,1,1
39834,1807,18,7,7,0,0,0
72715,2188,79,6,21,0,0,1
73623,1505,84,1,18,0,1,1
94576,1017,65,4,21,0,1,1
17119,953,9,5,4,1,0,1
83713,72,15,9,16,0,1,1
91894,1691,36,3,4,1,0,1
86772,1292,78,9,13,0,0,1
73947,1345,76,4,6,0,1,1
82850,2155,76,8,8,0,0,1
79734,883,31,6,16,1,0,1
28351,139,46,1,2,1,1,1
26045,2321,71,0,7,1,1,1
90952,1505,42,1,21,0,0,0
32317,2464,81,2,12,0,1,0
8408,733,35,1,15,1,0,0
6049,1749,25,2,20,0,1,0
52090,424,9,9,9,0,0,0
1250,1592,30,8,17,1,0,1
89580,390,96,3,2,0,0,0
74840,342,28,8,11,0,0,1
66717,946,4,2,15,0,0,0
94941,614,76,0,17,1,0,1
16996,493,0,4,16,0,0,0
46275,192,86,9,6,1,0,1
7905,499,2,9,18,0,0,0
5337,822,66,1,22,1,1,1
20156,1736,70,3,22,1,0,0
45643,1257,99,1,7,1,1,1
56656,1969,34,1,16,1,1,1
3443,227,14,2,20,0,1,0
13600,1395,66,4,6,1,0,0
53322,2187,92,3,0,0,0,0
29475,817,29,1,7,0,1,0
9762,1474,81,9,18,1,0,1
17064,1087,74,1,19,0,0,0
59738,104,42,5,19,0,0,0
73766,1875,59,6,9,0,0,1
85167,871,39,9,11,0,0,1
67315,668,64,5,23,1,0,1
69142,2043,28,6,0,0,1,1
13384,273,73,0,23,0,1,0
72889,1030,91,5,20,0,1,1
84764,2232,94,2,3,0,1,1
93568,1052,18,0,3,0,1,1
61489,1574,2,7,8,1,0,1
9535,293,35,3,14,0,0,0
54440,2225,42,9,23,1,0,1
44178,2106,14,7,14,0,1,1
78932,1293,96,9,6,1,1,1
51393,308,40,3,11,0,0,0
96081,977,89,3,2,0,1,1
78881,1252,79,9,19,1,0,1
60503,1271,35,3,8,1,0,0
29224,1518,96,5,13,1,0,1
95535,2131,83,8,12,0,1,1
44019,1210,76,4,23,1,1,1
35347,2300,32,9,11,1,0,1
94858,1379,4,7,0,1,0,1
91847,1774,77,7,18,0,1,1
62852,1720,90,3,15,0,1,0
56673,2043,86,9,11,0,1,1
59201,796,13,8,9,1,1,1
26746,897,67,8,1,0,0,0
23149,1962,82,4,17,0,0,0
79705,210,46,5,12,0,1,1
98216,2495,53,4,23,0,1,1
97479,968,3,2,5,1,1,1
68485,472,93,7,11,0,1,1
40258,2418,82,8,21,1,0,1
65517,923,94,3,3,1,1,1
23389,137,94,8,0,1,1,1
9923,367,8,8,10,1,0,1
60260,184,52,6,22,1,1,1
42075,1399,76,7,7,1,0,1
9640,537,77,2,1,0,0,0
16464,1603,59,4,1,1,0,0
4711,1274,45,2,15,0,1,0
27763,1097,53,6,0,1,0,1
52091,1306,73,5,3,0,1,1
57779,916,94,2,5,1,1,1
31077,152,36,8,20,0,0,0
94804,1029,22,0,19,0,0,0
49215,1219,26,9,13,1,0,1
91107,1978,69,2,19,1,1,1
88323,271,89,9,14,1,1,1
60990,1187,65,6,6,1,0,1
66487,460,60,2,6,0,1,0
18171,105,76,2,17,0,0,0
59375,1711,50,1,22,1,1,1
72469,2210,49,8,1,1,1,1
12038,2399,18,3,19,0,1,0
35295,434,0,9,14,1,1,1
91780,140,39,5,0,0,0,1
4100,1495,31,1,20,1,0,0
70688,87,21,8,16,1,0,1
93710,1712,92,6,19,0,1,1
97956,2231,65,9,12,0,1,1
38404,2416,39,4,11,1,0,0
69549,129,37,6,23,0,0,0
83086,1270,47,3,21,1,0,1
89743,1602,54,9,14,0,1,1
20864,670,74,6,23,1,0,1
86127,149,80,1,4,1,0,1
38594,985,54,6,6,1,0,1
3473,852,50,3,7,0,0,0
12261,1457,59,3,22,0,0,0
97632,628,7,0,13,0,0,0
92758,1493,85,2,3,0,0,0
27450,2494,67,4,20,1,0,0
93108,2045,74,4,13,0,0,0
94397,884,71,1,9,0,1,1
25451,2342,8,3,21,0,0,0
88768,1789,89,0,15,1,0,1
15405,250,1,8,10,0,0,0
75453,948,79,0,21,0,1,1
76897,975,94,5,13,1,1,1
66053,1326,69,6,13,1,0,1
57558,984,84,2,1,1,1,1
20458,889,89,0,21,1,1,1
3367,2118,58,6,12,1,0,1
82845,875,18,2,2,1,1,1
89688,1327,27,9,17,1,1,1
38613,471,71,5,21,0,0,0
26192,1988,13,5,3,1,0,1
11438,91,23,3,20,1,1,1
512,530,43,5,20,1,0,1
7643,661,55,9,18,1,0,1
33596,739,89,3,15,1,0,0
60792,872,94,7,3,0,1,1
89184,1687,50,8,18,0,0,1
93020,192,31,1,22,0,1,1
44525,1987,49,6,14,0,1,1
38856,2186,40,8,0,0,0,0
18988,345,65,8,15,0,1,1
35835,1009,24,4,14,0,0,0
47395,203,60,0,15,1,0,0
83142,573,65,5,21,1,0,1
86099,192,41,7,19,1,0,1
18055,2053,64,0,0,1,0,0
37941,1914,35,1,16,1,1,1
70740,1717,75,0,4,1,1,1
65610,311,8,4,4,0,0,0
35011,2104,35,1,6,1,1,1
59131,443,91,9,12,1,1,1
88826,1261,37,9,11,1,1,1
7457,870,32,3,3,0,1,0
32579,585,41,0,3,0,0,0
61576,1595,60,6,22,0,0,0
44911,1538,45,7,20,1,0,1
36308,360,85,4,20,1,1,1
20250,1724,88,1,5,1,1,1
71280,2078,60,7,23,0,0,1
43386,1803,17,0,14,0,0,0
68550,2012,69,6,20,1,1,1
21452,2156,81,0,18,0,0,0
55169,844,79,5,5,1,1,1
14497,1626,14,5,11,0,0,0
41655,891,47,4,13,0,0,0
47059,1992,71,1,17,0,1,0
828,1983,12,1,11,1,0,0
50617,960,42,8,23,0,0,0
66334,1469,59,4,23,1,0,0
40054,1462,56,4,14,1,0,0
47380,732,70,6,18,1,0,1
79559,606,16,5,7,0,0,1
16879,615,49,1,8,0,1,0
64032,2005,31,0,4,0,1,0
73036,1720,21,4,4,1,1,1
24566,674,54,3,5,0,1,0
37039,1271,56,2,22,0,1,0
69996,1588,12,1,2,1,0,0
35370,1612,46,9,4,1,0,1
59263,897,86,1,0,1,1,1
82737,1463,61,3,10,0,0,0
52034,278,53,1,20,0,0,0
64995,552,28,3,19,1,0,0
32407,1637,21,2,0,0,0,0
54198,2159,64,8,6,1,0,1
61021,2433,28,6,14,0,1,1
5586,761,47,2,16,1,1,1
8435,1450,4,7,7,0,0,0
87000,405,34,8,1,1,1,1
89212,1359,73,6,12,1,1,1
97303,1233,82,5,11,1,1,1
11230,22,70,3,4,0,1,1
87608,678,45,4,12,0,0,0
60666,2029,34,7,5,0,1,1
66803,1232,44,2,14,1,0,0
27292,2056,12,1,22,1,1,1
1162,1809,9,2,21,1,1,1
84176,529,65,6,20,1,0,1
89880,2038,69,7,21,1,0,1
21645,1677,71,0,10,1,1,1
21789,657,99,6,3,1,1,1
11274,166,24,8,0,1,0,1
88561,849,43,2,14,1,1,1
9448,496,59,2,11,0,0,0
23814,590,46,7,8,1,0,1
38202,429,39,3,10,0,0,0
74560,163,6,7,4,1,1,1
90030,2414,45,4,23,0,0,0
6901,1263,22,2,6,1,0,0
72367,72,82,3,7,0,1,1
48236,655,45,3,0,1,0,0
23725,269,85,7,0,1,1,1
82973,1777,12,5,2,1,1,1
72692,2463,20,6,7,0,0,1
77152,1269,0,8,10,1,1,1
44361,1016,18,5,0,0,1,1
1642,1084,59,2,13,0,1,0
21777,6,32,2,0,0,0,0
46832,982,3,2,5,0,0,0
50443,407,2,9,20,0,0,0
39181,1954,90,1,5,1,1,1
62956,2074,51,0,2,0,0,0
93205,986,98,9,9,0,0,1
88958,390,27,0,11,0,1,1
19165,710,69,3,9,0,0,0
83560,1472,69,2,21,1,1,1
88192,754,54,4,1,1,0,1
54793,2194,56,8,23,1,1,1
27062,1412,86,7,21,0,1,1
28395,1273,96,8,12,0,1,1
13907,526,15,4,15,0,1,0
42448,1486,23,7,12,1,0,1
26532,2061,68,3,3,0,1,0
83385,2432,40,4,3,1,1,1
91892,556,76,2,10,0,1,1
57954,19,46,4,22,0,1,1
40362,575,75,2,13,1,1,1
37180,1004,68,4,2,0,1,0
1424,2467,30,4,18,1,0,0
91367,2467,91,5,21,0,1,1
36009,1939,91,8,0,1,0,1
89439,1940,29,0,4,0,1,1
19970,1636,17,9,16,0,1,1
34678,1699,43,5,0,0,0,0
72224,2170,26,0,18,0,1,1
26890,432,98,5,18,0,1,1
25389,2092,25,1,3,1,0,0
55229,1896,59,7,18,1,0,1
93814,1944,17,2,5,0,0,0
94346,1341,96,9,14,1,0,1
15585,2429,88,5,3,1,1,1
44582,145,55,5,23,1,0,1
86288,2411,30,3,0,1,0,1
4848,1074,58,4,23,0,0,0
86869,1089,1,1,16,1,1,1
9535,2403,96,9,10,1,0,1
3809,800,38,9,16,0,1,1
30455,1152,60,7,22,0,1,1
55871,2446,62,9,0,0,1,1
57899,1957,95,6,8,0,1,1
13216,463,17,9,13,0,0,0
25570,1775,16,5,14,0,0,0
42444,2046,97,6,23,0,1,1
43018,808,38,0,0,0,0,0
52324,187,70,4,1,1,0,0
39398,1744,53,6,17,0,0,0
80319,732,98,0,17,1,0,1
61729,1936,93,1,5,0,1,0
66140,1214,75,8,19,0,0,0
99618,1412,34,2,7,1,0,1
99935,429,10,5,0,0,1,1
28116,1308,60,6,14,0,0,0
24060,2285,43,8,9,1,0,1
33691,1218,67,4,3,1,0,0
82948,1311,24,3,9,1,1,1
67741,771,47,1,10,1,0,0
36495,758,31,2,4,1,0,0
22800,136,83,4,8,1,1,1
34720,792,94,1,4,0,0,0
20659,171,3,3,10,0,1,0
93145,2207,37,0,2,0,1,1
93496,2249,62,3,3,0,1,1
61742,1581,46,6,9,0,0,0
76639,962,0,2,6,1,0,1
21832,876,2,9,0,1,0,1
91462,2419,85,7,5,0,0,1
30454,103,61,5,7,1,0,1
13943,1002,63,5,16,0,1,1
71826,1149,16,0,23,1,1,1
17740,1482,77,4,6,0,1,0
52628,658,61,2,0,0,1,0
38513,1221,34,9,8,0,0,0
52738,423,12,0,10,1,1,1
52836,171,34,7,18,1,1,1
68966,2221,42,6,1,0,0,0
19187,453,1,6,22,1,1,1
41530,2398,55,9,10,0,0,0
24604,1976,76,9,2,0,0,0
7214,1658,50,9,16,1,0,1
78959,2054,53,3,9,0,1,1
99757,288,15,5,2,0,1,1
11075,1642,17,8,21,0,1,1
11123,1448,6,2,2,1,1,1
21547,1914,44,8,20,0,1,1
90569,608,35,3,6,0,1,1
24059,457,40,4,1,0,0,0
66303,1765,93,6,0,0,0,0
29803,1226,41,5,6,1,1,1
9437,1236,6,9,19,0,1,1
46527,1030,14,7,10,0,0,0
61629,2424,59,7,22,1,0,1
84765,447,39,7,5,1,0,1
32021,835,82,2,22,1,1,1
33407,811,36,9,3,1,1,1
27455,1425,65,5,18,1,1,1
4935,1412,54,6,20,1,0,1
20259,959,76,8,18,0,1,1
47705,1476,94,9,13,0,1,1
38188,809,79,9,2,1,1,1
78852,979,55,3,3,0,1,1
55384,2464,43,4,7,1,1,1
57143,726,56,7,17,0,1,1
35647,1217,5,0,3,1,0,0
97107,2198,91,5,10,1,1,1
82944,1904,31,3,15,0,0,0
27632,779,73,4,2,1,0,0
34449,973,17,4,6,0,0,0
45545,1539,67,1,1,1,1,1
5813,1417,72,7,0,1,1,1
56278,2124,6,1,0,0,1,0
49507,599,7,3,5,1,1,1
70440,225,63,4,18,0,0,0
51090,1554,6,0,6,0,1,0
75772,2161,40,5,23,0,0,1
65645,2299,39,1,4,0,1,0
84891,841,2,4,20,0,1,1
58241,1815,16,5,17,1,0,1
23893,714,65,7,23,1,0,1
56670,1107,78,8,12,0,0,0
95184,125,92,5,0,1,1,1
37992,1093,51,4,9,0,0,0
1115,1280,21,3,8,1,0,0
61913,1751,3,1,16,0,0,0
27812,30,5,1,0,1,1,1
8515,2329,37,6,0,0,0,0
62392,2018,25,4,6,1,0,0
23933,2416,10,6,3,0,1,1
